Review,Evalu
schlechteste ever 😣,0
6 absolut kein thema mehr,0
"ein sehr guter tatort (y), das franken-team sollte öfter ermitteln!",1
absolute 6!,0
"kann nicht mitreden. ""x-men: apocalypse"" auf sky war die viel bessere option.",0
"2; wir erwarten keine tagesschau, sondern unterhaltung und spannung und ein bissel wortwitz. das war gegeben!",1
"als tatort eine glatte 6, als flüchtlingsdrama 2 und die schauspieler sind auf jeden fall eine 1.",0
"flüchtlingsdrama, sonst nix",0
tatort mit armen flüchtlingen und ausländer gegen böse deutsche schaue ich mir grundsätzlich nicht mehr an. sollen wir jetzt auch noch nebenbei politsch auf den richtigen kurs gebracht werden.? von mir note 6,0
ein tatort blöder als der andere.,0
ich habe umgeschaltet! 😣,0
erbärmlich,0
ich fand ihn sehr gut!,1
"ein sehr ""menschlicher krimi"",hat mir sehr gut gefallen !!!",1
"langeweile von der ersten bis letzten minute! keine spannung, kein tempo.",0
ich fand ihn gut - besser als die zwei ersten - wenn auch inhaltlich mehrere fehler drin waren - aber das ist nunmal geschmackssache.,1
der war so richtig langweilig bin voll eingeschlafen auf der couch was mir eigentlich beim tatort nicht passiert wenn er spannend ist und dann auch so ein blödes ende,0
ein sehr emotionaler krimi mit vielen aktuellen bezügen zum thema refugees. dazu ein klasse ermittlerteam und tolle darsteller.,1
nicht so gut 4,0
"so peinlich, platt und grottenschlecht, eine 6 reicht da wirklich nicht!",0
sechs minus...political correctness bedeutet früher oder später das aus für die einstige kultsendung tatort/polizeiruf.110. ich möchte unterhalten werden und nicht erzogen...,0
gefallen? gar nicht! 6. punkt.,0
das war nix......thematisch....sowie auch in allen anderen bereichen......die schauspieler waren nicht in der lage den worten aus dem drehbuch leben einzuhauchen. ...alles kam hölzern und klischeehaft daher. ........eine zumutung......nach quälenden circa 45min (ich werfe ja nicht sofort die flinte ins korn )......wurde umgeschaltet !!!....,0
ich würde eine 4 geben. nicht nur die schauspieler wieder aufgetaut auch die geschichte dahinter. langweilig und vorhersehbar!,0
"herrlich, da hat der sender aber ganz hübsch die werte manipuliert. wo immer im netz der rifutschi-tatort von gestern besprochen wurde, hagelte es kritik. geschätzt 80 prozent fanden ihn unsäglich. das spiegelt sich aber nicht in der skala oben wieder. fake news!",0
"berührend u sehr einfühlsam, mit tollen schauspielern.",1
das fränkisch war sehr oft ziemlich falsch und gestelzt 😄 außerdem wars leider ganz schön langweilig.,0
"hat mir gut gefallen, allerdings wurden die sprachlichen schwierigkeiten der flüchtlinge sehr, sehr verharmlosend dargestellt.",1
note 6,0
ich bin eingeschlafen.....,0
schaut das jetzt echt noch wer?!,0
"das war gut.typen,die man immer wieder trifft,im guten und bösen.nur der schluß hat mich irritiert.",1
mir hat er gefallen und dieses fränkische herrlich👍,1
kann man nicht endlich mal mit den flüchtlingen auf hören.,0
bis auf das ende fand ich ihn dieses mal echt klasse.,1
thema mittlerweile uberstrapaziert. einfach nur nen richtigen krimi und schon wäre wieder unterhaltung gegeben.,0
sehr emotionaler mitreißender tatort mit hochklassigen schauspieler_innen,1
ich hab mir das erst gar nicht angetan 🙈👎😡,0
"ich habe gestern nur noch darauf gewartet, daß beim tod des erschossenen am pool die franken cops weinend zusammen brechen!
note 6",0
"gutes team.... schlechtes drehbuch.... katastrophales ende
.. 4--",0
doppel 6! der tatort produziert bzw. steigert die deutschlandfeindlichkeit.,0
"für mich eine 3. fremdenhass und sozialneid sind gut dargestellt worden, jedoch fand ich den tatort etwas langatmig. es fehlte hier für mich ein wenig die spannung.",0
"da es mal wieder, wie mittlerweile in fast jedem film, um flüchtlinge ging, habe ich direkt umgeschaltet. ich kann es einfach nicht mehr sehen.",0
"die beste tatortkommisarin aller zeiten.kompetent,direkt,kompromislos und alles im griff.",1
nur ungeliebt.,0
"note 1 ,trotz flüchtlingsthema",1
langweilig...,0
"als eingefleischter tatort -gucker muss ich gestehen ... nein ... nicht so toll. sorry ... das thema 'flüchtlinge ' ... nee geht einfach nicht mehr. habe den fernseher dann ausgemacht, weil sonst auch nix kam ....",0
"zwei zerstörte kirchen , terror in schweden und in leipzig zerstören asylbewerber eine straßenbahn und die staatsmedien produzieren von der gez serien wo rentner als killer dargestellt werden ... es ist so krank wie die ard propaganda für die regierung betreibt ... vielleicht sollte mal ein realitätsnaher tatort produziert werden, wo frauen von asylbewerbern auf zeltplätzen vergewaltigt werden oder rentner durch asylbewerber zu tode kommen . ich denke das ist zu nah an der wirklichkeit und darf nicht gezeigt werden und darum machen wir weiter mit der dummen staatspropaganda ....",0
"ich habe ziemlich bald ausgeschaltet, als mir klar wurde, wie gut die einwandererinnen deutsch sprechen und wie spontan gutes deutsch der ""tschetschene"" sprach, ohne aufzufallen. wie es es sich entwickelte, habe ich also nicht mitbekommen. der anfang war jedenfalls sehr unglaubwürdig.",0
habe ins zweite geschaltet wie ich gesehen habe dass es wieder mit flüchtlingen ist das braucht man nicht .,0
"langweilig, voller klischees und entsetzliche darsteller! 5",0
"leider hab ich den schluss nicht sehen können, aber davor fand ich ihn super!",1
ich fand ihn auch sehr gut. tolle schauspieler und gutes drehbuch.,1
unguckbar,0
gääähn....,0
bitte keine flüchtlinge mehr!!!!!!! will keiner mehr sehen wie sich die deutschen selber in den dreck ziehen!!!!!!!!,0
"wie gesagt, sehr gute darsteller, geschichte leider flach, ende unbefriedigend, gesamtnote: 3,5",0
nicht gut .. und das thema nervt sowieso ..hätte ihn besser doch nicht geschaut .,0
tatort wird nicht mehr eingeschaltet :) so endet sonntag immer mit einer dvd !,0
war nix,0
wieder alles richtig gemacht den nicht zu gucken,0
ich mag die kommissarin nicht ( die schauspielerin schon).wenn einem wichtige personen unsympathisch sind fällt es schwer objektiv zu benoten.darum enthalte ich mich.bei faber nächste woche (auf den ich mich riesig freue) verteile ich dann wieder eine note.,0
"erstklassig dieser tatort !
noch nie wurde so gut dargestellt, das wir deutschen alles nazi drecksschweine sind, die polizei komplett inkompetent und voll von fremdenfeindlicher kollegen ist, das die flüchtlinge fast ausschließlich aus fachkräften besteht , ärzte z.b.
und das unsere alte generation gerne mal selbstjustiz übt ist ja auch ein weit verbreitetes übel.
und selbst verständlich werden unsere gäste nur straffällig, weil andere schuld sind und eigentlich mit sowas gar nichts zu tun haben wollen.
und fast vergessen habe ich die behörden , die einfach jahrelang nichts an anträgen bearbeiten !
klasse ! endlich sind unsere gebühren mal sinnvoll verwendet worden",0
"liebes ""tatort""-team, guckt mal bitte oben auf die noten. wer findet den fehler 😂. bei mir wird 100 % 🙈 bei der note 2 angezeigt. das ist ja wohl ein wunschdenken von ihnen. ich habe ihm zwar auch die 2 gegeben, aber alle zuschauer? im leben nicht. trotzdem 👍🏼👏🏼😂",0
tatortinflation,0
"der film hat eine 2+ verdient. der bessere sendeplatz wäre der film am donnerstag.
als tatort aber deswegen nur eine 4.",0
mieses drehbuch daher eine 5,0
"nicht so mein team. nach einer halben stunde war's mir genug. langweilig.
bootz und lannert aus stuttgart sind für mich die besten.",0
gerade noch 4,0
war echt gut gemacht aber die kommissare müssten etwas mehr fränkisch reden.,1
"ein guter tatort, welcher der realität in allen belangen sehr nahe kommt, hoffentlich hat frau angela merkel diesen
 tatort auch gesehen.",1
10 min. chance gegeben..... danach umgeschaltet.🙈😏,0
"bisher der beste aus franken! ruhig erzählt, aber mit spannung und ein bisschen humor. auch das lokalkolorit über den diaklekt hat mir gefallen. am ende hätte ich mir schon gewünscht, dass auch der hintermann gepackt wird, aber wahrscheinlich sieht es in der realität auch nicht anders aus.",1
megaschlecht!!!,0
"das thema nervt,obwohl gut dargestellt.",1
thema flüchtlinge nervt etwas. warum muss das jetzt immer und immer wieder kommen. und fränkisch war das auch nicht. es war ein schlechter tatort. kein vergleich zum letzten aus münster.,0
"ich möchte mal etwas nettes sagen: ein kompliment an alle schauspieler, drehbuchautoren, kameraleute usw.. ihr macht alle einen suuupi job. allen könnt ihr es nicht recht machen. mir gefällt er eigentlich immer und die einschaltquote zeigt, daß ich nicht alleine damit bin.",1
thema wollen viele nicht mehr,0
"die hinter dem tatort versteckte botschaft und problematik wurde ausgewogen dargestellt. insofern gibt es von mir eine ""2"".",1
ich gebe eine 3 für den film,1
bin eingeschlafen...,0
hat mir gefallen - 2,1
vom thema genervt ... 😬 nicht zu ende geschaut,0
"... von der nicht so wahnsinnig glücklichen themenwahl abgesehen, vllt sollte man den ganzen mundartkram in 'weiß-blaue geschichten' , 'vorstadtrevier' oder 'mord mit aussicht ' auslagern. die wirklich guten teams mit spannenden to kommen ohne großen sprachlichen lokalkolorit aus (berlin , köln, münchen, kiel, hamburg, dortmund, frankfurt,...). hier geht es dann nicht darum, irgendeine provinz in den vordergrund zu rücken, sondern der fall ist im fokus.
daher nur eine benotung im unteren drittel.",0
"habs versucht aber es wurde langweilig,nix für mich",0
"es fällt mir schwer, mich für einen tatort zu begeistern, wenn auch noch die hauptrolle durch und durch unsympathisch ist.",0
"ich gucke das gemorde erst gar nicht..
schon das thema....😣",0
"war mir persönlich einfach zu platt und auch zu flach; wie zum geier kommt man in 2017 (2016) auf eine ende-achtziger-parole/argumentation als antwort auf die frage, was man gegen die flüchtlinge habe ? benotung: 4",0
1 ...ich fand den klasse....,1
sechs (6)!!!,0
"eine glatte 1. endlich mal wieder ein kurzweiliger tatort, der zu unterhalten verstand. und die trockenen dialoge im dialekt sind der absolute brüller.",1
"schon allein, weil hier viele eine ""6"" geben, ohne den tatort überhaupt gesehen zu haben, geb ich im eine ""1"".
und bitte nicht aufhören, aktuelle themen zu verarbeiten!",1
"hat uns gut gefallen, dafür eine2",1
"grottenschlecht: thema, umsetzung, (haupt)kommissare 😷",0
